frame,otsu_my,otsu_cv2,match,white_ratio_fixed128,white_ratio_otsu_frame,white_ratio_otsu_global
180,95,95,1,0.230412,0.248659,0.247712
181,95,95,1,0.231485,0.249702,0.248751
182,95,95,1,0.233171,0.251260,0.250306
183,96,96,1,0.236576,0.254252,0.253798
184,96,96,1,0.238247,0.256607,0.256107
185,96,96,1,0.238981,0.257454,0.257017
186,96,96,1,0.239127,0.257689,0.257177
187,96,96,1,0.239513,0.258239,0.257715
188,96,96,1,0.239980,0.258620,0.258098
189,96,96,1,0.239752,0.258569,0.258110
190,96,96,1,0.239518,0.258288,0.257796
191,96,96,1,0.239299,0.258133,0.257648
192,96,96,1,0.238457,0.257283,0.256776
193,96,96,1,0.238046,0.256853,0.256337
194,96,96,1,0.237530,0.256357,0.255833
195,96,96,1,0.236223,0.254984,0.254443
196,96,96,1,0.235044,0.253714,0.253217
197,96,96,1,0.234298,0.252806,0.252288
198,96,96,1,0.233666,0.252119,0.251617
199,96,96,1,0.231457,0.248784,0.248307
200,96,96,1,0.226918,0.244089,0.243662
201,96,96,1,0.223275,0.240359,0.239897
202,96,96,1,0.220380,0.237257,0.236798
203,96,96,1,0.217378,0.234056,0.233610
204,96,96,1,0.214166,0.230798,0.230367
205,96,96,1,0.210601,0.227249,0.226829
206,96,96,1,0.207735,0.224221,0.223785
207,96,96,1,0.205271,0.221708,0.221272
208,96,96,1,0.203387,0.220017,0.219579
209,96,96,1,0.203043,0.219584,0.219130
210,96,96,1,0.203214,0.219716,0.219307
211,96,96,1,0.203447,0.220056,0.219631
212,96,96,1,0.203657,0.220241,0.219805
213,96,96,1,0.204388,0.221226,0.220758
214,95,95,1,0.205943,0.223352,0.222450
215,96,96,1,0.207170,0.224231,0.223753
216,96,96,1,0.207646,0.224648,0.224187
217,96,96,1,0.207778,0.224786,0.224327
218,96,96,1,0.207680,0.224693,0.224286
219,96,96,1,0.207439,0.224491,0.224031
220,96,96,1,0.207586,0.224405,0.223950
221,96,96,1,0.207992,0.224721,0.224277
222,96,96,1,0.208337,0.224933,0.224481
223,96,96,1,0.208768,0.225341,0.224897
224,96,96,1,0.208953,0.225556,0.225112
225,96,96,1,0.209677,0.226226,0.225807
226,96,96,1,0.210307,0.226607,0.226220
227,96,96,1,0.210681,0.226802,0.226401
228,96,96,1,0.211057,0.226911,0.226513
229,96,96,1,0.211546,0.227225,0.226809
230,96,96,1,0.212086,0.227939,0.227490
231,96,96,1,0.212912,0.228700,0.228253
232,96,96,1,0.214029,0.229915,0.229473
233,96,96,1,0.215496,0.231494,0.231092
234,96,96,1,0.217512,0.233497,0.233085
235,96,96,1,0.220581,0.236401,0.236000
236,96,96,1,0.226795,0.243490,0.243075
237,96,96,1,0.236717,0.254258,0.253816
238,96,96,1,0.246724,0.264774,0.264332
239,96,96,1,0.256661,0.274825,0.274373
240,97,97,1,0.265980,0.284729,0.284729
241,97,97,1,0.275592,0.294640,0.294640
242,97,97,1,0.283943,0.303104,0.303104
243,97,97,1,0.289236,0.308631,0.308631
244,97,97,1,0.290488,0.310438,0.310438
245,97,97,1,0.290395,0.310270,0.310270
246,97,97,1,0.290857,0.310654,0.310654
247,97,97,1,0.292539,0.312238,0.312238
248,97,97,1,0.294861,0.314606,0.314606
249,97,97,1,0.296336,0.316213,0.316213
250,97,97,1,0.297128,0.316875,0.316875
251,97,97,1,0.298382,0.318044,0.318044
252,97,97,1,0.301425,0.320856,0.320856
253,97,97,1,0.305308,0.324863,0.324863
254,97,97,1,0.309208,0.328750,0.328750
255,97,97,1,0.312296,0.331948,0.331948
256,97,97,1,0.314072,0.333778,0.333778
257,97,97,1,0.314470,0.334217,0.334217
258,97,97,1,0.314106,0.334060,0.334060
259,97,97,1,0.313594,0.333317,0.333317
260,97,97,1,0.313282,0.332976,0.332976
261,97,97,1,0.312880,0.332520,0.332520
262,97,97,1,0.312582,0.332185,0.332185
263,97,97,1,0.312288,0.331936,0.331936
264,98,98,1,0.311867,0.330955,0.331523
265,98,98,1,0.311410,0.330397,0.330960
266,98,98,1,0.311110,0.330062,0.330621
267,97,97,1,0.310207,0.329775,0.329775
268,98,98,1,0.310152,0.328483,0.329055
269,98,98,1,0.309418,0.327039,0.327623
270,98,98,1,0.308344,0.324881,0.325385
271,98,98,1,0.305980,0.322197,0.322691
272,98,98,1,0.304181,0.320165,0.320621
273,98,98,1,0.302867,0.318288,0.318772
274,99,99,1,0.301390,0.315862,0.316831
275,99,99,1,0.299867,0.313980,0.314807
276,99,99,1,0.297819,0.311620,0.312558
277,99,99,1,0.295522,0.309371,0.310302
278,99,99,1,0.293727,0.307566,0.308462
279,99,99,1,0.291788,0.305779,0.306633
280,99,99,1,0.289823,0.304418,0.305327
281,99,99,1,0.288206,0.303018,0.303950
282,99,99,1,0.287624,0.302412,0.303340
283,99,99,1,0.287398,0.302228,0.303122
284,99,99,1,0.287245,0.302038,0.302945
285,99,99,1,0.286890,0.301789,0.302680
286,99,99,1,0.286562,0.301495,0.302380
287,99,99,1,0.286414,0.301328,0.302231
288,99,99,1,0.286402,0.301225,0.302154
289,99,99,1,0.286311,0.301192,0.302094
290,99,99,1,0.286293,0.301198,0.302129
291,99,99,1,0.286313,0.301245,0.302180
292,99,99,1,0.286402,0.301229,0.302180
293,99,99,1,0.286328,0.301146,0.302118
