frame,D_sigma0,H_sigma0,D_sigma5,H_sigma5,D_sigma10,H_sigma10,D_sigma20,H_sigma20,D_sigma40,H_sigma40
120,5733143,0.02034722,12098106,0.01042824,19373136,0.00820409,34161685,0.00872396,62477151,0.00676890
121,5099895,0.00780768,11812263,0.00618441,19150416,0.00682292,34031717,0.00612365,62486720,0.00649498
122,5442891,0.00716146,12080791,0.00664062,19393091,0.00716146,34220828,0.00743634,62593350,0.00657600
123,6116771,0.00817419,12647743,0.00672357,19876925,0.00666956,34626321,0.00710455,62871730,0.00706019
124,7200606,0.01133198,13494587,0.00970679,20615085,0.01043306,35204039,0.00965953,63360620,0.00989969
125,7909034,0.01322724,14075366,0.01114680,21107397,0.01118731,35629127,0.01106867,63834294,0.01076775
126,8149769,0.01332079,14275324,0.01322434,21304530,0.01307388,35846321,0.01256655,63974048,0.01201389
127,8228782,0.01309028,14358693,0.01257234,21418905,0.01286844,36029086,0.01242766,64239769,0.01202643
128,8012114,0.01416570,14183462,0.01235340,21293705,0.01211806,36036975,0.01229070,64358728,0.01192708
129,7869027,0.01188272,14100634,0.01194927,21274059,0.01209394,36050296,0.01131559,64500142,0.01124904
130,7842399,0.01440683,14065294,0.01330054,21266708,0.01245370,36115695,0.01176505,64622487,0.01250386
131,7579017,0.01141879,13896361,0.01081790,21156712,0.01051698,36085992,0.01042052,64778037,0.01115162
132,7868615,0.01156443,14172159,0.01117573,21424071,0.01129340,36353804,0.01141493,65139803,0.01130498
133,7356668,0.01054495,13754106,0.01008005,21085975,0.00959684,36153983,0.01012828,65036383,0.00998843
134,6499885,0.01058931,13031230,0.00831211,20482825,0.00862461,35731509,0.00823302,64926723,0.00824363
135,5612925,0.00665413,12381910,0.00708140,19996734,0.00685378,35419073,0.00635224,64741176,0.00705729
136,4644732,0.00497878,11656039,0.00572724,19396657,0.00605421,35038966,0.00586227,64487305,0.00724633
137,3548457,0.00402778,10831453,0.00396991,18723336,0.00422743,34554782,0.00423418,64185385,0.00595679
138,4001879,0.00579090,11196403,0.00556134,19052393,0.00494599,34719522,0.00539834,64380497,0.00576485
139,4440672,0.00470583,11581229,0.00445120,19369391,0.00558642,35032408,0.00510802,64572230,0.00543789
140,5141910,0.00562307,12110739,0.00578704,19818207,0.00634066,35363552,0.00535012,64789049,0.00659433
141,4501030,0.00649788,11607700,0.00495949,19372512,0.00559124,35076215,0.00414545,64586618,0.00571566
142,5630072,0.00549961,12524321,0.00560667,20120992,0.00609279,35600614,0.00575907,64774187,0.00571566
143,6024607,0.00823688,12758856,0.00688272,20317075,0.00616802,35661883,0.00681906,64808553,0.00686728
144,5942457,0.00663002,12695383,0.00677276,20253896,0.00676215,35589001,0.00723380,64748560,0.00683738
145,4568466,0.00505112,11674395,0.00437886,19422016,0.00432774,35001738,0.00550347,64363114,0.00631848
146,3509016,0.00352238,10854615,0.00462867,18756222,0.00422840,34530618,0.00551119,64091501,0.00566165
147,3777545,0.00330150,11101109,0.00431617,18950769,0.00382427,34678729,0.00584780,64220123,0.00508005
148,4592132,0.00520255,11749752,0.00405575,19505309,0.00476755,35043960,0.00658275,64463695,0.00529900
149,5670576,0.01148245,12585849,0.00829186,20189909,0.00618827,35580109,0.00565008,64722492,0.00573688
150,6293731,0.01304880,12837080,0.00656443,20377908,0.00539834,35701925,0.00696663,64845756,0.00623746
151,5997697,0.00496431,12859082,0.00450907,20418270,0.00578125,35788943,0.00544271,64827705,0.00559317
152,6432130,0.01045814,13215608,0.00866898,20750814,0.00681424,35982686,0.00639660,64981132,0.00480324
153,7054498,0.00610725,13705333,0.00565297,21120221,0.00585166,36250260,0.00580054,65156955,0.00532504
154,7521053,0.00694637,14079648,0.00578125,21433572,0.00574942,36476942,0.00623071,65257008,0.00581597
155,7073892,0.01310764,13649988,0.00738812,21051301,0.00831501,36155794,0.00589024,65015846,0.00720100
156,6777419,0.00668306,13413436,0.00577739,20809479,0.00574460,35924076,0.00699074,64771388,0.00659915
157,7700800,0.01084780,14257855,0.00845293,21548123,0.00873843,36490203,0.00863522,64992120,0.00818480
158,8183314,0.01457658,14630116,0.01018133,21828534,0.00995177,36681423,0.00900849,65071309,0.00986979
159,7378065,0.00895544,13871137,0.00703221,21129992,0.00702546,36120227,0.00727816,64686631,0.00755787
160,6579002,0.00501640,13178314,0.00501447,20576759,0.00511188,35604391,0.00557292,64355800,0.00557099
161,6149727,0.00849537,12831812,0.00494599,20281560,0.00489680,35388467,0.00545718,64186673,0.00508391
162,6230403,0.00637924,12916729,0.00567612,20339817,0.00456308,35391179,0.00545718,64116488,0.00573881
163,6890100,0.00590374,13491524,0.00562693,20822383,0.00525945,35791150,0.00533179,64267208,0.00556617
164,7408713,0.01513021,13928989,0.00996528,21196488,0.00804012,36055024,0.00728588,64445953,0.00519290
165,8400060,0.01013600,14801430,0.00836613,21939496,0.00732350,36564077,0.00626447,64769590,0.00647762
166,9111027,0.01270351,15431574,0.01007137,22498993,0.00871238,36992949,0.00553048,65000569,0.00772184
167,9898878,0.01899209,16093897,0.01516686,23084492,0.01174865,37503959,0.00921779,65266791,0.00684799
168,9949312,0.01203704,16152775,0.00978974,23132736,0.00886574,37489047,0.00737076,65242880,0.00506076
169,9653809,0.02089120,15718882,0.01304109,22718574,0.01007909,37123489,0.00694155,64940976,0.00520640
170,8854418,0.00957658,15031093,0.00729263,22108003,0.00652392,36617324,0.00549093,64428887,0.00515914
171,8290543,0.00822338,14561616,0.00756269,21674757,0.00657890,36281012,0.00519579,64212153,0.00452450
172,7588672,0.00732446,13941967,0.00683449,21165866,0.00628279,35858808,0.00576292,63988035,0.00544078
173,6879748,0.01067226,13365895,0.00711902,20632952,0.00598187,35423531,0.00531925,63667534,0.00520448
174,5753966,0.00607157,12422294,0.00547550,19851146,0.00616223,34829029,0.00456019,63256810,0.00470583
175,3032083,0.00293113,10387614,0.00377315,18211774,0.00444927,33694156,0.00468171,62520105,0.00493345
176,2536712,0.00337481,10005035,0.00323013,17914906,0.00375482,33474837,0.00512249,62407724,0.00445891
177,4673565,0.00361497,11702470,0.00439236,19275869,0.00493634,34447893,0.00621721,63091615,0.00489583
178,6495338,0.00786169,13194084,0.00611208,20517872,0.00548032,35355689,0.00509066,63612988,0.00511960
179,8133036,0.01126640,14590888,0.00863522,21738959,0.00764757,36360722,0.00712963,64288969,0.00639468
180,8852753,0.01474730,14967857,0.00918885,22060993,0.00676601,36546189,0.00599923,64429241,0.00593075
181,8431807,0.01323302,14691281,0.00991898,21779368,0.00798225,36333416,0.00667728,64325366,0.00598090
182,7734348,0.01121431,13974366,0.00721451,21143459,0.00599344,35826973,0.00505015,63911109,0.00523823
183,6934190,0.00793113,13237849,0.00578318,20504072,0.00465664,35351909,0.00480999,63622186,0.00640914
184,5313966,0.00463059,11964153,0.00373843,19436757,0.00490644,34578705,0.00456211,63097395,0.00449074
185,3787464,0.00694348,10812414,0.00535590,18511516,0.00428819,33880163,0.00573302,62741591,0.00555556
186,3114604,0.00340181,10385741,0.00499614,18136046,0.00394869,33611390,0.00569444,62505826,0.00533179
187,3369068,0.00329958,10540427,0.00517554,18268184,0.00450328,33669440,0.00562307,62577336,0.00633102
188,3892433,0.00373360,10927933,0.00412616,18564987,0.00479745,33853869,0.00502797,62682073,0.00579090
