# NOTE: cost=0 (params=0, memory=0) の correct ネットは score=25.0(満点)。公式 max(1,25-ln(cost)) は cost<=1 で 25 上限。
task,cost,correct,score,secs
task094,189,1,19.7583,1.6
task095,140,1,20.0584,1.0
task096,1854,1,17.4749,0.5
task097,910,1,18.1866,0.2
task098,37,1,21.3891,0.3
task099,494,1,18.7975,1.0
task100,54,1,21.0110,0.6
task101,7491,1,16.0785,0.4
task102,1296,1,17.8330,0.3
task103,15,1,22.2919,0.2
task104,254,1,19.4627,0.2
task105,416,1,18.9693,3.5
task106,269,1,19.4053,0.3
task107,1481,1,17.6995,0.6
task108,152,1,19.9761,10.9
task109,681,1,18.4764,0.2
task110,55,1,20.9927,0.8
task111,155,1,19.9566,0.7
task112,1387,1,17.7651,0.3
task113,30,1,21.5988,0.2
task114,284,1,19.3510,0.2
task115,238,1,19.5277,0.3
task116,23,1,21.8645,0.3
task117,2320,1,17.2507,0.5
task118,5932,1,16.3119,0.4
task119,711,1,18.4333,0.4
task120,150,1,19.9894,0.9
task121,251,1,19.4745,0.3
task122,162,1,19.9124,1.9
task123,475,1,18.8367,0.2
task124,550,1,18.6901,0.3
task125,1828,1,17.4890,0.3
task126,324,1,19.2193,0.3
task127,284,1,19.3510,4.2
task128,78,1,20.6433,0.6
task129,1,1,25.0000,0.4
task130,20,1,22.0043,0.2
task131,1824,1,17.4912,0.5
task132,735,1,18.4001,4.0
task133,5433,1,16.3998,1.1
task134,679,1,18.4794,0.4
task135,2,1,24.3069,0.2
task136,164,1,19.9001,1.2
task137,1796,1,17.5067,0.4
task138,3909,1,16.7290,0.9
task139,92,1,20.4782,1.3
task140,5,1,23.3906,0.2
task141,108,1,20.3179,1.0
task142,64,1,20.8411,2.7
task143,372,1,19.0811,0.3
task144,94,1,20.4567,0.2
task145,10720,1,15.7201,0.4
task146,193,1,19.7373,0.3
task147,253,1,19.4666,0.2
task148,391,1,19.0313,1.9
task149,136,1,20.0873,0.2
task150,31,1,21.5660,0.3
task151,343,1,19.1623,0.4
task152,62,1,20.8729,7.6
task153,259,1,19.4432,0.4
task154,189,1,19.7583,0.4
task155,30,1,21.5988,0.4
task156,779,1,18.3420,0.3
task157,1460,1,17.7138,0.6
task158,13262,1,15.5073,0.8
task159,568,1,18.6579,0.9
task160,538,1,18.7121,0.3
task161,198,1,19.7117,0.4
task162,2058,1,17.3705,0.3
task163,210,1,19.6529,6.5
task164,22,1,21.9090,0.2
task165,1849,1,17.4776,0.4
task166,20,1,22.0043,0.9
task167,52,1,21.0488,0.3
task168,600,1,18.6031,1.2
task169,790,1,18.3280,0.3
task170,777,1,18.3446,0.6
task171,175,1,19.8352,0.2
task172,16,1,22.2274,0.2
task173,9758,1,15.8142,0.9
task174,1525,1,17.6703,0.5
task175,228,1,19.5707,0.4
task176,80,1,20.6180,0.4
task177,140,1,20.0584,0.4
task178,373,1,19.0784,0.3
task179,0,1,25.0000,0.2
task180,176,1,19.8295,0.2
task181,350,1,19.1421,0.2
task182,3383,1,16.8735,0.3
task183,281,1,19.3616,0.5
task184,756,1,18.3720,0.3
task185,647,1,18.5277,0.4
task186,33,1,21.5035,0.2
task187,4623,1,16.5612,0.8
task188,60,1,20.9057,0.4
task189,313,1,19.2538,0.4
task190,291,1,19.3267,0.8
task191,4330,1,16.6267,1.2
task192,4400,1,16.6106,0.3
task193,170,1,19.8642,0.2
task194,157,1,19.9438,23.6
task195,325,1,19.2162,0.3
task196,3718,1,16.7791,0.3
task197,10,1,22.6974,2.6
task198,1206,1,17.9049,258.0
task199,304,1,19.2830,0.8
task200,399,1,19.0110,0.2
task201,1296,1,17.8330,0.6
task202,128,1,20.1480,5.8
task203,246,1,19.4947,0.2
task204,3996,1,16.7070,0.4
task205,1517,1,17.6755,0.4
task206,429,1,18.9385,0.4
task207,118,1,20.2293,0.2
task208,2691,1,17.1023,0.6
task209,3649,1,16.7978,0.9
task210,22,1,21.9090,0.2
task211,128,1,20.1480,2.7
task212,252,1,19.4706,18.3
task213,125,1,20.1717,775.0
task214,155,1,19.9566,0.3
task215,70,1,20.7515,5.3
task216,2151,1,17.3263,0.6
task217,134,1,20.1022,4.5
task218,614,1,18.5800,0.3
task219,2740,1,17.0843,0.6
task220,258,1,19.4470,5.2
task221,385,1,19.0468,0.5
task222,3745,1,16.7718,0.3
task223,5,1,23.3906,0.2
task224,176,1,19.8295,5.7
task225,401,1,19.0060,0.3
task226,448,1,18.8952,0.3
task227,94,1,20.4567,0.2
task228,413,1,18.9766,0.3
task229,139,1,20.0655,0.2
task230,172,1,19.8525,2.2
task231,71,1,20.7373,0.3
task232,158,1,19.9374,10.3
task233,16137,1,15.3111,1.3
task234,989,1,18.1033,0.6
task235,140,1,20.0584,0.2
task236,92,1,20.4782,0.3
task237,587,1,18.6250,0.3
task238,708,1,18.4376,0.4
task239,443,1,18.9064,0.3
task240,279,1,19.3688,0.4
task241,0,1,25.0000,0.2
task242,174,1,19.8409,0.3
task243,1110,1,17.9879,16.5
task244,86,1,20.5457,0.3
task245,1055,1,18.0387,0.3
task246,128,1,20.1480,59.8
task247,217,1,19.6201,0.3
task248,117,1,20.2378,0.2
task249,58,1,20.9396,0.2
task250,1502,1,17.6854,0.3
task251,1871,1,17.4658,1.3
task252,96,1,20.4357,0.8
task253,343,1,19.1623,0.3
task254,160,1,19.9248,3.9
task255,2907,1,17.0251,0.5
task256,168,1,19.8760,0.4
task257,176,1,19.8295,0.2
task258,97,1,20.4253,0.5
task259,262,1,19.4317,0.3
task260,192,1,19.7425,1.2
task261,200,1,19.7017,0.2
task262,80,1,20.6180,0.2
task263,261,1,19.4355,0.4
task264,1613,1,17.6141,0.3
task265,1686,1,17.5699,0.3
task266,147,1,20.0096,0.2
task267,60,1,20.9057,0.3
task268,2810,1,17.0591,0.5
task269,64,1,20.8411,0.3
