rank,task,hash,cost,score,archetype
380,task016,0d3d703e,10,22.6974,
381,task017,0dfd9992,10,22.6974,
382,task061,29ec7d0e,10,22.6974,
383,task197,82819916,10,22.6974,
384,task276,b1948b0a,10,22.6974,random_pixels
385,task305,c3f564a4,10,22.6974,
386,task309,c8f0f002,10,22.6974,
387,task312,c9f8e694,10,22.6974,overlaps
388,task337,d511f180,10,22.6974,
389,task373,e9afcf9a,8,22.9206,
390,task053,25ff71a9,6,23.2082,all_pixels
391,task087,3c9b0459,5,23.3906,
392,task140,6150a2bd,5,23.3906,
393,task223,9172f3a0,5,23.3906,all_pixels|grid_enhance
394,task307,c59eb873,4,23.6137,grid_enhance|random_pixels
395,task326,d10ecb37,4,23.6137,
396,task135,5bd6f4ac,2,24.3069,
397,task067,2dee498d,0,25.0000,
398,task129,5582e5ca,1,25.0000,all_pixels
399,task179,74dd1130,0,25.0000,transpose
400,task241,9dfd6313,0,25.0000,
