kind,i,value_ns
sample,51200,1625
sample,51300,41
sample,51400,42
sample,51500,0
sample,51600,0
spike,51602,319709
sample,51700,41
sample,51800,41
sample,51900,125
sample,52000,83
cumavg,52000,250
sample,52100,42
sample,52200,125
sample,52300,42
sample,52400,125
sample,52500,42
sample,52600,42
spike,52601,54917
sample,52700,125
sample,52800,42
sample,52900,83
sample,53000,42
cumavg,53000,248
sample,53100,42
sample,53200,42
sample,53300,0
sample,53400,0
sample,53500,0
sample,53600,0
sample,53700,0
sample,53800,41
sample,53900,42
sample,54000,0
cumavg,54000,244
sample,54100,41
sample,54200,0
sample,54300,0
sample,54400,0
sample,54500,42
sample,54600,0
sample,54700,0
sample,54800,41
spike,54807,537709
sample,54900,0
spike,54917,134959
sample,55000,42
cumavg,55000,253
spike,55004,120166
sample,55100,41
spike,55136,480208
sample,55200,125
sample,55300,42
sample,55400,125
sample,55500,42
sample,55600,125
sample,55700,167
sample,55800,125
sample,55900,83
sample,56000,83
cumavg,56000,261
sample,56100,41
sample,56200,167
sample,56300,83
spike,56386,275709
sample,56400,125
sample,56500,42
sample,56600,41
sample,56700,42
sample,56800,41
sample,56900,125
sample,57000,42
cumavg,57000,263
sample,57100,42
sample,57200,83
sample,57300,125
sample,57400,0
sample,57500,42
sample,57600,42
spike,57699,579667
sample,57700,250
spike,57761,140958
spike,57768,63708
sample,57800,83
sample,57900,0
sample,58000,41
cumavg,58000,273
sample,58100,42
sample,58200,84
spike,58244,451458
spike,58285,489500
sample,58300,42
spike,58349,75333
sample,58400,125
spike,58441,1038083
sample,58500,41
sample,58600,42
spike,58603,23832416
sample,58700,83
sample,58800,42
sample,58900,0
sample,59000,125
cumavg,59000,708
sample,59100,42
sample,59200,0
spike,59259,237875
sample,59300,0
spike,59317,6848375
sample,59400,125
spike,59495,57292
sample,59500,125
sample,59600,83
sample,59700,83
sample,59800,125
sample,59900,42
spike,59913,54125
sample,60000,5375
cumavg,60000,818
sample,60100,166
sample,60200,208
sample,60300,167
sample,60400,167
sample,60500,167
