rank,task,hash,cost,score,archetype
200,task301,beb8660c,245,19.4987,
201,task356,ded97339,244,19.5028,random_pixels
202,task114,49d1d64f,239,19.5235,
203,task115,4be741c5,238,19.5277,transpose
204,task288,b8cdaf2b,238,19.5277,
205,task323,d06dbe63,234,19.5447,
206,task106,46442a0e,228,19.5707,
207,task175,73251a56,228,19.5707,
208,task351,dc0a314f,226,19.5795,
209,task400,ff805c23,223,19.5928,
210,task247,a3325580,217,19.6201,continuous_creature|overlaps
211,task203,85c4e7cd,216,19.6247,
212,task253,a61ba2ce,212,19.6434,overlaps
213,task163,6d0160f0,210,19.6529,all_pixels|hollywood_squares
214,task015,0ca9ddb6,203,19.6868,all_pixels
215,task331,d364b489,199,19.7067,all_pixels
216,task161,6cdd2623,198,19.7117,random_pixels
217,task146,662c240a,192,19.7425,
218,task260,a78176bb,192,19.7425,
219,task070,32597951,191,19.7477,all_pixels
220,task287,b8825c91,190,19.7530,
221,task094,41e4d17e,189,19.7583,
222,task154,6855a6e4,189,19.7583,diagonally_connected|random_pixels|transpose
223,task057,28bf18c6,187,19.7689,conway_sprite|diagonally_connected
224,task010,08ed6ac7,184,19.7851,
225,task127,54d9e175,184,19.7851,
226,task121,5117e062,180,19.8070,conway_sprite|overlaps
227,task343,d8c310e9,178,19.8182,draw
228,task180,75b8110e,176,19.8295,random_pixels
229,task224,928ad970,176,19.8295,
230,task257,a68b268e,176,19.8295,random_pixels
231,task171,6f8cd79b,175,19.8352,
232,task242,9ecd008a,174,19.8409,
233,task348,db3e9e38,173,19.8467,
234,task230,95990924,172,19.8525,overlaps
235,task193,7f4411dc,170,19.8642,get_pixel|overlaps|random_pixels|remove_neighbors
236,task256,a65b410d,168,19.8760,
237,task271,ae4f1146,167,19.8820,all_pixels
238,task020,11852cab,165,19.8941,
239,task321,cf98881b,165,19.8941,random_pixels
240,task136,5c0a986e,164,19.9001,
241,task122,5168d44c,161,19.9186,transpose
242,task376,eb281b96,161,19.9186,
243,task254,a61f2674,160,19.9248,
244,task371,e9614598,160,19.9248,transpose
245,task074,3631a71a,158,19.9374,draw|get_pixel
246,task232,97999447,158,19.9374,
247,task194,7fe24cdd,157,19.9438,all_pixels
248,task059,29623171,156,19.9501,all_pixels|hollywood_squares
249,task391,f8b3ba0a,156,19.9501,
250,task104,4522001f,155,19.9566,
251,task306,c444b776,154,19.9630,random_pixels
252,task214,8e5a5113,153,19.9696,
253,task261,a79310a0,153,19.9696,random_pixels
254,task038,1fad071e,151,19.9827,get_pixel|overlaps
255,task039,2013d3e2,151,19.9827,
256,task049,23b5c85d,148,20.0028,
257,task266,a9f96cdd,147,20.0096,draw
258,task352,dc1df850,145,20.0233,draw
259,task327,d13f3404,144,20.0302,all_pixels
260,task011,09629e4f,142,20.0442,all_pixels|hollywood_squares
261,task315,cce03e0d,142,20.0442,all_pixels
