rank,task,hash,cost,score,archetype
63,task117,4c5c2cf0,897,18.2009,conway_sprite|diagonally_connected|flip_horiz
64,task277,b230c067,866,18.2361,continuous_creature|overlaps
65,task013,0a938d79,865,18.2373,transpose
66,task165,6d58a25d,862,18.2407,random_pixels
67,task037,1f876c06,852,18.2524,
68,task368,e76a88a6,852,18.2524,
69,task137,5c2c9af4,847,18.2583,draw
70,task270,ae3edfdc,842,18.2642,
71,task310,c909285e,823,18.2870,
72,task382,f15e1fac,820,18.2907,apply_gravity|flip_horiz
73,task019,10fcaaa3,815,18.2968,
74,task302,c0f76784,807,18.3067,overlaps
75,task374,ea32f347,805,18.3092,
76,task245,a1570a43,773,18.3497,conway_sprite
77,task112,4938f0c2,740,18.3933,random_pixels
78,task378,ec883f72,736,18.3988,draw
79,task184,780d0b14,731,18.4056,
80,task364,e509e548,718,18.4235,overlaps|rand_sprite
81,task169,6e82a1ae,712,18.4319,overlaps
82,task066,2dd70a9a,711,18.4333,transpose
83,task012,0962bcdd,710,18.4347,apply_gravity
84,task132,56ff96f3,699,18.4503,overlaps
85,task025,1a07d186,696,18.4547,random_pixels|transpose
86,task170,6ecd11f4,693,18.4590,conway_sprite|diagonally_connected|get_pixel
87,task075,363442ee,687,18.4677,all_pixels
88,task397,fcc82909,679,18.4794,
89,task198,83302e8f,661,18.5062,create_linegrid
90,task102,44d8ac46,657,18.5123,overlaps
91,task387,f35d900a,653,18.5184,
92,task333,d43fd935,646,18.5292,random_pixels
93,task035,1f642eb9,641,18.5370,
94,task069,321b1fc6,637,18.5432,all_pixels|connected|overlaps
95,task243,9edfc990,626,18.5606,
96,task093,4093f84a,623,18.5655,random_pixels|transpose
97,task008,05f2a901,605,18.5948,rectangle_nibbles|transpose
98,task398,feca6190,594,18.6131,
99,task092,40853293,593,18.6148,
100,task234,98cf29f8,581,18.6352,transpose
101,task238,9aec4887,571,18.6526,conway_sprite
102,task284,b7249182,568,18.6579,transpose
103,task328,d22278a0,562,18.6685,
104,task156,694f12f3,559,18.6739,
105,task308,c8cbb738,553,18.6846,
106,task250,a48eeaf7,536,18.7159,
107,task237,99fa7670,533,18.7215,
108,task062,2bcee788,530,18.7271,flip_horiz|transpose
109,task218,90c28cc7,517,18.7520,
110,task324,d07ae81c,517,18.7520,all_pixels|remove_diagonal_neighbors
111,task034,1f0c79e5,514,18.7578,
112,task048,239be575,513,18.7597,overlaps|random_pixels
113,task134,5ad4f10b,487,18.8117,conway_sprite|random_pixels
114,task168,6e19193c,477,18.8325,
115,task273,af902bf9,477,18.8325,
116,task377,eb5a1d5d,464,18.8601,
117,task222,91714a58,460,18.8688,get_pixel|random_pixels
118,task174,72ca375d,451,18.8885,continuous_creature|overlaps
119,task109,47c1f68c,444,18.9042,conway_sprite
120,task275,b190f7f5,437,18.9201,all_pixels|diagonally_connected
121,task279,b2862040,436,18.9224,draw|overlaps|remove_neighbors
122,task029,1c786137,435,18.9247,
123,task160,6c434453,418,18.9645,get_pixel
124,task226,941d9a10,411,18.9814,
125,task345,d9f24cd1,410,18.9838,
126,task099,444801d8,404,18.9986,
127,task014,0b148d64,394,19.0236,random_pixels
128,task239,9af7a82c,384,19.0494,
